2025-06-17 23:26:50,416 - INFO - Starting parallel data processing from directory: C:\Users\User\Projects\talbot\data\gm_games
2025-06-17 23:26:50,416 - INFO - Saving EACH processed PGN file to its own HDF5 file in: C:\Users\User\Projects\talbot\training\supervised\v3_pol_mvplayed_val_sfeval_more_games\data\processed_pgn_h5
2025-06-17 23:26:50,416 - INFO - Using 8 parallel workers.
2025-06-17 23:26:50,419 - INFO - Found 168 PGN files to process.
2025-06-18 02:54:24,121 - INFO - Processed Li.pgn. Output: Li.h5, Moves: 119927. Total moves so far: 5952873
2025-06-18 02:56:20,037 - INFO - Processed Ljubojevic.pgn. Output: Ljubojevic.h5, Moves: 154468. Total moves so far: 6107341
2025-06-18 02:57:34,516 - INFO - Processed Malakhov.pgn. Output: Malakhov.h5, Moves: 207186. Total moves so far: 6314527
2025-06-18 03:10:28,813 - INFO - Processed Lasker.pgn. Output: Lasker.h5, Moves: 70647. Total moves so far: 6385174
2025-06-18 03:15:42,604 - INFO - Processed Lahno.pgn. Output: Lahno.h5, Moves: 78617. Total moves so far: 6463791
2025-06-18 03:21:26,411 - INFO - Processed Lautier.pgn. Output: Lautier.h5, Moves: 146582. Total moves so far: 6610373
2025-06-18 03:25:47,923 - INFO - Processed Le.pgn. Output: Le.h5, Moves: 199781. Total moves so far: 6810154
2025-06-18 03:30:02,733 - INFO - Processed Leko.pgn. Output: Leko.h5, Moves: 231977. Total moves so far: 7042131
2025-06-18 03:32:19,699 - INFO - Processed Kudrin.pgn. Output: Kudrin.h5, Moves: 94908. Total moves so far: 7137039
2025-06-18 03:42:21,472 - INFO - Processed Mamedyarov.pgn. Output: Mamedyarov.h5, Moves: 409596. Total moves so far: 7546635
2025-06-18 03:42:33,179 - INFO - Processed Kotov.pgn. Output: Kotov.h5, Moves: 55035. Total moves so far: 7601670
2025-06-18 03:44:00,750 - INFO - Processed Larsen.pgn. Output: Larsen.h5, Moves: 210105. Total moves so far: 7811775
2025-06-18 03:59:19,327 - INFO - Processed Nakamura.pgn. Output: Nakamura.h5, Moves: 842329. Total moves so far: 8654104
2025-06-18 04:03:08,084 - INFO - Processed Krush.pgn. Output: Krush.h5, Moves: 207471. Total moves so far: 8861575
2025-06-18 04:18:45,851 - INFO - Processed Krasenkow.pgn. Output: Krasenkow.h5, Moves: 248387. Total moves so far: 9109962
2025-06-18 04:26:04,749 - INFO - Processed Koneru.pgn. Output: Koneru.h5, Moves: 182045. Total moves so far: 9292007
2025-06-18 04:33:32,416 - INFO - Processed Kholmov.pgn. Output: Kholmov.h5, Moves: 148746. Total moves so far: 9440753
2025-06-18 04:39:51,576 - INFO - Processed Khalifman.pgn. Output: Khalifman.h5, Moves: 159220. Total moves so far: 9599973
2025-06-18 04:46:23,907 - INFO - Processed Keres.pgn. Output: Keres.h5, Moves: 121350. Total moves so far: 9721323
2025-06-18 04:46:53,454 - INFO - Processed Kavalek.pgn. Output: Kavalek.h5, Moves: 91834. Total moves so far: 9813157
2025-06-18 04:50:00,280 - INFO - Processed Korobov.pgn. Output: Korobov.h5, Moves: 293095. Total moves so far: 10106252
2025-06-18 04:51:30,268 - INFO - Processed Kramnik.pgn. Output: Kramnik.h5, Moves: 372187. Total moves so far: 10478439
2025-06-18 05:09:43,245 - INFO - Processed Korchnoi.pgn. Output: Korchnoi.h5, Moves: 378771. Total moves so far: 10857210
2025-06-18 05:10:59,551 - INFO - Processed Kasparov.pgn. Output: Kasparov.h5, Moves: 162894. Total moves so far: 11020104
2025-06-18 05:13:34,296 - INFO - Processed Kasimdzhanov.pgn. Output: Kasimdzhanov.h5, Moves: 148216. Total moves so far: 11168320
2025-06-18 05:18:46,261 - INFO - Processed Kaidanov.pgn. Output: Kaidanov.h5, Moves: 120107. Total moves so far: 11288427
2025-06-18 05:30:28,838 - INFO - Processed Janowski.pgn. Output: Janowski.h5, Moves: 74130. Total moves so far: 11362557
2025-06-18 05:33:07,924 - INFO - Processed Kosteniuk.pgn. Output: Kosteniuk.h5, Moves: 526925. Total moves so far: 11889482
2025-06-18 05:46:51,535 - INFO - Processed Jussupow.pgn. Output: Jussupow.h5, Moves: 163992. Total moves so far: 12053474
2025-06-18 05:47:02,283 - INFO - Processed IvanovI.pgn. Output: IvanovI.h5, Moves: 60524. Total moves so far: 12113998
2025-06-18 05:54:20,073 - INFO - Processed Karpov.pgn. Output: Karpov.h5, Moves: 295047. Total moves so far: 12409045
2025-06-18 05:56:51,997 - INFO - Processed Jakovenko.pgn. Output: Jakovenko.h5, Moves: 167971. Total moves so far: 12577016
2025-06-18 06:00:08,251 - INFO - Processed Karjakin.pgn. Output: Karjakin.h5, Moves: 318015. Total moves so far: 12895031
2025-06-18 06:10:34,585 - INFO - Processed IvanovA.pgn. Output: IvanovA.h5, Moves: 101461. Total moves so far: 12996492
2025-06-18 06:11:00,040 - INFO - Processed Ivkov.pgn. Output: Ivkov.h5, Moves: 174969. Total moves so far: 13171461
2025-06-18 06:24:13,029 - INFO - Processed IllescasCordoba.pgn. Output: IllescasCordoba.h5, Moves: 116104. Total moves so far: 13287565
2025-06-18 06:26:22,089 - INFO - Processed Horwitz.pgn. Output: Horwitz.h5, Moves: 9297. Total moves so far: 13296862
2025-06-18 06:27:16,296 - INFO - Processed Ibragimov.pgn. Output: Ibragimov.h5, Moves: 116152. Total moves so far: 13413014
