2025-06-17 15:56:44,569 - INFO - Starting parallel data processing from directory: C:\Users\User\Projects\talbot\data\gm_games
2025-06-17 15:56:44,569 - INFO - Saving EACH processed PGN file to its own HDF5 file in: C:\Users\User\Projects\talbot\training\supervised\v3_pol_mvplayed_val_sfeval_more_games\data\processed_pgn_h5
2025-06-17 15:56:44,570 - INFO - Using 8 parallel workers.
2025-06-17 15:56:44,571 - INFO - Found 241 PGN files to process.
2025-06-17 16:01:39,728 - INFO - Processed Zukertort.pgn. Output: Zukertort.h5, Moves: 21371. Total moves so far: 21371
2025-06-17 16:06:16,848 - INFO - Processed Xu.pgn. Output: Xu.h5, Moves: 42158. Total moves so far: 63529
2025-06-17 16:08:05,751 - INFO - Processed Ye.pgn. Output: Ye.h5, Moves: 51405. Total moves so far: 114934
2025-06-17 16:14:04,863 - INFO - Processed Xie.pgn. Output: Xie.h5, Moves: 56988. Total moves so far: 171922
2025-06-17 16:17:37,590 - INFO - Processed Wolff.pgn. Output: Wolff.h5, Moves: 50868. Total moves so far: 222790
2025-06-17 16:21:49,092 - INFO - Processed Zhu.pgn. Output: Zhu.h5, Moves: 111766. Total moves so far: 334556
2025-06-17 16:22:30,149 - INFO - Processed Winawer.pgn. Output: Winawer.h5, Moves: 21836. Total moves so far: 356392
2025-06-17 16:23:17,677 - INFO - Processed Yudasin.pgn. Output: Yudasin.h5, Moves: 118376. Total moves so far: 474768
2025-06-17 16:23:41,531 - INFO - Processed Yermolinsky.pgn. Output: Yermolinsky.h5, Moves: 120372. Total moves so far: 595140
2025-06-17 16:30:41,067 - INFO - Processed Waitzkin.pgn. Output: Waitzkin.h5, Moves: 31105. Total moves so far: 626245
2025-06-17 16:31:52,637 - INFO - Processed Wojtkiewicz.pgn. Output: Wojtkiewicz.h5, Moves: 105743. Total moves so far: 731988
2025-06-17 16:42:16,599 - INFO - Processed Zvjaginsev.pgn. Output: Zvjaginsev.h5, Moves: 201634. Total moves so far: 933622
2025-06-17 16:48:31,270 - INFO - Processed Yu.pgn. Output: Yu.h5, Moves: 228509. Total moves so far: 1162131
2025-06-17 16:57:26,832 - INFO - Processed Wei.pgn. Output: Wei.h5, Moves: 159403. Total moves so far: 1321534
2025-06-17 16:57:43,573 - INFO - Processed Wang.pgn. Output: Wang.h5, Moves: 153617. Total moves so far: 1475151
2025-06-17 17:02:50,959 - INFO - Processed WangH.pgn. Output: WangH.h5, Moves: 180510. Total moves so far: 1655661
2025-06-17 17:06:18,150 - INFO - Processed Wojtaszek.pgn. Output: Wojtaszek.h5, Moves: 234787. Total moves so far: 1890448
2025-06-17 17:06:28,418 - INFO - Processed Volokitin.pgn. Output: Volokitin.h5, Moves: 156649. Total moves so far: 2047097
2025-06-17 17:14:24,106 - INFO - Processed Vitiugov.pgn. Output: Vitiugov.h5, Moves: 190603. Total moves so far: 2237700
2025-06-17 17:17:15,273 - INFO - Processed TorreRepetto.pgn. Output: TorreRepetto.h5, Moves: 12811. Total moves so far: 2250511
2025-06-17 17:26:12,625 - INFO - Processed Unzicker.pgn. Output: Unzicker.h5, Moves: 89307. Total moves so far: 2339818
2025-06-17 17:40:33,179 - INFO - Processed VallejoPons.pgn. Output: VallejoPons.h5, Moves: 234049. Total moves so far: 2573867
2025-06-17 17:45:59,993 - INFO - Processed Vaganian.pgn. Output: Vaganian.h5, Moves: 214206. Total moves so far: 2788073
2025-06-17 17:46:55,708 - INFO - Processed Ushenina.pgn. Output: Ushenina.h5, Moves: 194191. Total moves so far: 2982264
2025-06-17 17:49:44,170 - INFO - Processed Uhlmann.pgn. Output: Uhlmann.h5, Moves: 195751. Total moves so far: 3178015
2025-06-17 17:58:44,290 - INFO - Processed Teichmann.pgn. Output: Teichmann.h5, Moves: 41057. Total moves so far: 3219072
2025-06-17 18:00:00,646 - INFO - Processed VanWely.pgn. Output: VanWely.h5, Moves: 351050. Total moves so far: 3570122
2025-06-17 18:05:22,682 - INFO - Processed Tomashevsky.pgn. Output: Tomashevsky.h5, Moves: 174347. Total moves so far: 3744469
2025-06-17 18:07:00,767 - INFO - Processed Tkachiev.pgn. Output: Tkachiev.h5, Moves: 118166. Total moves so far: 3862635
2025-06-17 18:08:41,952 - INFO - Processed Topalov.pgn. Output: Topalov.h5, Moves: 228085. Total moves so far: 4090720
2025-06-17 18:12:23,613 - INFO - Processed Tarrasch.pgn. Output: Tarrasch.h5, Moves: 60606. Total moves so far: 4151326
2025-06-17 18:15:49,993 - INFO - Processed SultanKhan.pgn. Output: SultanKhan.h5, Moves: 15349. Total moves so far: 4166675
2025-06-17 18:33:32,319 - INFO - Processed Sutovsky.pgn. Output: Sutovsky.h5, Moves: 112776. Total moves so far: 4279451
2025-06-17 18:34:12,924 - INFO - Processed Szabo.pgn. Output: Szabo.h5, Moves: 130871. Total moves so far: 4410322
2025-06-17 18:38:03,670 - INFO - Processed Tal.pgn. Output: Tal.h5, Moves: 173402. Total moves so far: 4583724
2025-06-17 18:38:49,176 - INFO - Processed Suetin.pgn. Output: Suetin.h5, Moves: 101928. Total moves so far: 4685652
2025-06-17 18:41:59,699 - INFO - Processed VachierLagrave.pgn. Output: VachierLagrave.h5, Moves: 461107. Total moves so far: 5146759
2025-06-17 18:42:08,107 - INFO - Processed Tiviakov.pgn. Output: Tiviakov.h5, Moves: 249340. Total moves so far: 5396099
2025-06-17 18:43:42,108 - INFO - Processed Staunton.pgn. Output: Staunton.h5, Moves: 22097. Total moves so far: 5418196
2025-06-17 18:44:10,093 - INFO - Processed Steinitz.pgn. Output: Steinitz.h5, Moves: 46971. Total moves so far: 5465167
2025-06-17 18:46:04,505 - INFO - Processed Stein.pgn. Output: Stein.h5, Moves: 53990. Total moves so far: 5519157
2025-06-17 18:50:52,335 - INFO - Processed Timman.pgn. Output: Timman.h5, Moves: 291208. Total moves so far: 5810365
2025-06-17 18:51:50,711 - INFO - Processed Soltis.pgn. Output: Soltis.h5, Moves: 25719. Total moves so far: 5836084
2025-06-17 18:59:22,880 - INFO - Processed Spielmann.pgn. Output: Spielmann.h5, Moves: 78494. Total moves so far: 5914578
2025-06-17 18:59:41,809 - INFO - Processed Stahlberg.pgn. Output: Stahlberg.h5, Moves: 78511. Total moves so far: 5993089
2025-06-17 19:17:44,348 - INFO - Processed Spassky.pgn. Output: Spassky.h5, Moves: 152755. Total moves so far: 6145844
2025-06-17 19:22:02,117 - INFO - Processed Speelman.pgn. Output: Speelman.h5, Moves: 170370. Total moves so far: 6316214
2025-06-17 19:23:04,966 - INFO - Processed Svidler.pgn. Output: Svidler.h5, Moves: 338085. Total moves so far: 6654299
2025-06-17 19:39:15,718 - INFO - Processed Shulman.pgn. Output: Shulman.h5, Moves: 95362. Total moves so far: 6749661
2025-06-17 19:44:27,637 - INFO - Processed Smyslov.pgn. Output: Smyslov.h5, Moves: 199932. Total moves so far: 6949593
2025-06-17 19:46:54,607 - INFO - Processed Smirin.pgn. Output: Smirin.h5, Moves: 214226. Total moves so far: 7163819
2025-06-17 19:48:05,173 - INFO - Processed Sokolov.pgn. Output: Sokolov.h5, Moves: 259373. Total moves so far: 7423192
2025-06-17 19:49:49,181 - INFO - Processed Stefanova.pgn. Output: Stefanova.h5, Moves: 317492. Total moves so far: 7740684
2025-06-17 19:57:03,055 - INFO - Processed Shamkovich.pgn. Output: Shamkovich.h5, Moves: 80014. Total moves so far: 7820698
2025-06-17 20:01:39,983 - INFO - Processed Serper.pgn. Output: Serper.h5, Moves: 65073. Total moves so far: 7885771
2025-06-17 20:02:20,219 - INFO - Processed Schlechter.pgn. Output: Schlechter.h5, Moves: 56573. Total moves so far: 7942344
2025-06-17 20:16:02,499 - INFO - Processed Seirawan.pgn. Output: Seirawan.h5, Moves: 123559. Total moves so far: 8065903
2025-06-17 20:16:27,559 - INFO - Processed Salov.pgn. Output: Salov.h5, Moves: 66966. Total moves so far: 8132869
2025-06-17 20:19:01,369 - INFO - Processed So.pgn. Output: So.h5, Moves: 395242. Total moves so far: 8528111
2025-06-17 20:22:45,198 - INFO - Processed Short.pgn. Output: Short.h5, Moves: 268102. Total moves so far: 8796213
2025-06-17 20:25:39,888 - INFO - Processed Saemisch.pgn. Output: Saemisch.h5, Moves: 43650. Total moves so far: 8839863
2025-06-17 20:30:26,098 - INFO - Processed Rohde.pgn. Output: Rohde.h5, Moves: 34924. Total moves so far: 8874787
2025-06-17 20:31:12,512 - INFO - Processed Shabalov.pgn. Output: Shabalov.h5, Moves: 211765. Total moves so far: 9086552
2025-06-17 20:32:58,590 - INFO - Processed Sakaev.pgn. Output: Sakaev.h5, Moves: 135995. Total moves so far: 9222547
2025-06-17 20:33:50,987 - INFO - Processed Rubinstein.pgn. Output: Rubinstein.h5, Moves: 66022. Total moves so far: 9288569
